x,y,theta
1.159999999999999920e+00,7.600000000000000089e-01,9.123015873015872801e-01
1.219999999999999973e+00,8.299999999999999600e-01,1.235317460317460370e+00
1.290000000000000036e+00,9.000000000000000222e-01,1.253869047619047716e+00
1.429999999999999938e+00,1.050000000000000044e+00,1.222222222222222321e+00
1.429999999999999938e+00,1.050000000000000044e+00,1.224404761904761996e+00
1.429999999999999938e+00,1.050000000000000044e+00,1.225496031746031722e+00
1.590000000000000080e+00,1.050000000000000044e+00,2.040674603174603141e-01
1.629999999999999893e+00,1.040000000000000036e+00,1.385912698412698485e-01
1.659999999999999920e+00,1.030000000000000027e+00,9.494047619047618625e-02
1.719999999999999973e+00,1.010000000000000009e+00,3.492063492063492147e-02
1.790000000000000036e+00,8.399999999999999689e-01,-9.352182539682539764e-01
1.739999999999999991e+00,7.099999999999999645e-01,-1.591071428571428692e+00
1.649999999999999911e+00,6.400000000000000133e-01,-2.083234126984127244e+00
1.600000000000000089e+00,6.099999999999999867e-01,-2.119246031746031989e+00
1.550000000000000044e+00,5.699999999999999512e-01,-1.975198412698412787e+00
1.489999999999999991e+00,5.100000000000000089e-01,-1.882440476190476275e+00
1.429999999999999938e+00,4.299999999999999933e-01,-1.537599206349206327e+00
1.449999999999999956e+00,1.799999999999999933e-01,-7.497023809523809534e-01
1.419999999999999929e+00,8.000000000000000167e-02,-1.654365079365079483e+00
1.350000000000000089e+00,0.000000000000000000e+00,-1.735119047619047672e+00
1.320000000000000062e+00,-4.000000000000000083e-02,-1.772222222222222365e+00
1.290000000000000036e+00,-8.000000000000000167e-02,-1.803869047619047761e+00
1.169999999999999929e+00,-1.100000000000000006e-01,-2.725992063492063355e+00
1.000000000000000000e+00,-2.999999999999999889e-02,-3.353472222222222410e+00
9.799999999999999822e-01,1.300000000000000044e-01,-4.325793650793650968e+00
1.100000000000000089e+00,2.300000000000000100e-01,-5.324305555555556069e+00
1.280000000000000027e+00,3.699999999999999956e-01,-5.065674603174603163e+00
1.290000000000000036e+00,5.500000000000000444e-01,-4.112996031746031456e+00
1.189999999999999947e+00,7.500000000000000000e-01,-3.716865079365079261e+00
1.149999999999999911e+00,8.199999999999999512e-01,-3.704861111111111160e+00
1.100000000000000089e+00,9.100000000000000311e-01,-3.796527777777777946e+00
1.020000000000000018e+00,1.070000000000000062e+00,-3.759424603174603252e+00
9.799999999999999822e-01,1.129999999999999893e+00,-3.672123015873015817e+00
9.399999999999999467e-01,1.169999999999999929e+00,-3.460416666666666696e+00
8.499999999999999778e-01,1.340000000000000080e+00,-3.852182539682539986e+00
8.299999999999999600e-01,1.370000000000000107e+00,-3.864186507936508086e+00
6.800000000000000488e-01,1.439999999999999947e+00,-2.925694444444444375e+00
5.500000000000000444e-01,1.409999999999999920e+00,-2.342956349206349209e+00
4.699999999999999734e-01,1.260000000000000009e+00,-1.456845238095238138e+00
5.200000000000000178e-01,1.090000000000000080e+00,-5.914682539682539764e-01
5.600000000000000533e-01,8.800000000000000044e-01,-1.065079365079365070e+00
4.500000000000000111e-01,7.500000000000000000e-01,-1.963194444444444464e+00
4.400000000000000022e-01,5.799999999999999600e-01,-1.017063492063492003e+00
5.100000000000000089e-01,5.000000000000000000e-01,-1.658730158730158666e-01
6.099999999999999867e-01,2.899999999999999800e-01,-1.063988095238095344e+00
6.199999999999999956e-01,2.600000000000000089e-01,-1.081448412698412742e+00
6.099999999999999867e-01,2.200000000000000011e-01,-1.125099206349206460e+00
6.099999999999999867e-01,1.799999999999999933e-01,-1.179662698412698552e+00
5.999999999999999778e-01,1.300000000000000044e-01,-1.223313492063492047e+00
6.099999999999999867e-01,8.000000000000000167e-02,-1.030158730158730274e+00
6.700000000000000400e-01,-5.999999999999999778e-02,-6.209325396825396970e-01
8.299999999999999600e-01,-1.300000000000000044e-01,2.782738095238095344e-01
9.599999999999999645e-01,-4.000000000000000083e-02,1.224404761904761996e+00
9.699999999999999734e-01,1.199999999999999956e-01,2.149801587301587436e+00
9.799999999999999822e-01,2.700000000000000178e-01,1.823511904761904834e+00
1.080000000000000071e+00,5.500000000000000444e-01,1.556150793650793673e+00
1.090000000000000080e+00,5.799999999999999600e-01,1.505952380952380931e+00
1.110000000000000098e+00,6.099999999999999867e-01,1.427380952380952417e+00
1.110000000000000098e+00,5.999999999999999778e-01,1.428472222222222365e+00
1.159999999999999920e+00,6.700000000000000400e-01,1.354265873015872979e+00
