x,y,theta
1.100000000000000089e+00,6.999999999999999556e-01,1.107148717794090409e+00
1.152264231633826741e+00,8.039558454088796546e-01,1.100475118107996586e+00
1.203955845408879677e+00,9.033683215379000320e-01,1.079264086821601465e+00
1.254508497187473814e+00,9.938926261462365241e-01,1.039406675134543212e+00
1.303368321537900165e+00,1.071572412738696967e+00,9.718192709625659287e-01
1.350000000000000089e+00,1.133012701892219365e+00,8.570719478501310773e-01
1.393892626146236768e+00,1.175528258147576777e+00,6.523581397843681851e-01
1.434565303179429208e+00,1.197260947684136489e+00,2.742266129600944291e-01
1.471572412738697100e+00,1.197260947684136712e+00,-3.028217091897326685e-01
1.504508497187473814e+00,1.175528258147576777e+00,-8.104785342840820084e-01
1.533012701892219276e+00,1.133012701892219365e+00,-1.107148717794090187e+00
1.556772728821300467e+00,1.071572412738697189e+00,-1.275738682759549159e+00
1.575528258147576910e+00,9.938926261462366352e-01,-1.382085796011334633e+00
1.589073800366902933e+00,9.033683215379001430e-01,-1.457489879440875713e+00
1.597260947684136845e+00,8.039558454088797657e-01,-1.517415242842859113e+00
1.600000000000000089e+00,7.000000000000000666e-01,-1.570796326794896558e+00
1.597260947684136845e+00,5.960441545911203676e-01,-1.624177410746934003e+00
1.589073800366902933e+00,4.966316784621000457e-01,-1.684102774148917625e+00
1.575528258147576910e+00,4.061073738537634426e-01,-1.759506857578458705e+00
1.556772728821300689e+00,3.284275872613029446e-01,-1.865853970830243735e+00
1.533012701892219498e+00,2.669872981077807683e-01,-2.034443935795702263e+00
1.504508497187473814e+00,2.244717418524231900e-01,-2.331114119305710553e+00
1.471572412738697322e+00,2.027390523158633107e-01,-2.838770944400057950e+00
1.434565303179429208e+00,2.027390523158632551e-01,-3.415819266549886546e+00
1.393892626146236768e+00,2.244717418524231345e-01,-3.793950793374160746e+00
1.350000000000000311e+00,2.669872981077804353e-01,-3.998664601439923860e+00
1.303368321537900387e+00,3.284275872613026670e-01,-4.113411924552359267e+00
1.254508497187473814e+00,4.061073738537632760e-01,-4.180999328724336550e+00
1.203955845408879899e+00,4.966316784620994906e-01,-4.220856740411393915e+00
1.152264231633826963e+00,5.960441545911200345e-01,-4.242067771697789702e+00
1.100000000000000089e+00,6.999999999999998446e-01,-4.248741371383883525e+00
1.047735768366173659e+00,8.039558454088792105e-01,-4.242067771697789702e+00
9.960441545911205008e-01,9.033683215378998099e-01,-4.220856740411393915e+00
9.454915028125264742e-01,9.938926261462364131e-01,-4.180999328724336550e+00
8.966316784621002345e-01,1.071572412738696745e+00,-4.113411924552359267e+00
8.500000000000001998e-01,1.133012701892219143e+00,-3.998664601439924304e+00
8.061073738537636313e-01,1.175528258147576777e+00,-3.793950793374161634e+00
7.654346968205711921e-01,1.197260947684136489e+00,-3.415819266549887434e+00
7.284275872613030778e-01,1.197260947684136712e+00,-2.838770944400061946e+00
6.954915028125263632e-01,1.175528258147576777e+00,-2.331114119305711885e+00
6.669872981077809015e-01,1.133012701892219587e+00,-2.034443935795703595e+00
6.432272711786998221e-01,1.071572412738697633e+00,-1.865853970830244846e+00
6.244717418524232677e-01,9.938926261462366352e-01,-1.759506857578458927e+00
6.109261996330972444e-01,9.033683215379004761e-01,-1.684102774148917847e+00
6.027390523158634439e-01,8.039558454088804318e-01,-1.624177410746934447e+00
6.000000000000000888e-01,7.000000000000001776e-01,-1.570796326794896780e+00
6.027390523158633329e-01,5.960441545911208117e-01,-1.517415242842859335e+00
6.109261996330972444e-01,4.966316784621005453e-01,-1.457489879440875491e+00
6.244717418524232677e-01,4.061073738537635536e-01,-1.382085796011334633e+00
6.432272711786994890e-01,3.284275872613031666e-01,-1.275738682759549825e+00
6.669872981077805685e-01,2.669872981077810459e-01,-1.107148717794090187e+00
6.954915028125263632e-01,2.244717418524232455e-01,-8.104785342840830076e-01
7.284275872613028557e-01,2.027390523158633662e-01,-3.028217091897308921e-01
7.654346968205707480e-01,2.027390523158631996e-01,2.742266129600948732e-01
8.061073738537634092e-01,2.244717418524230790e-01,6.523581397843675189e-01
8.499999999999998668e-01,2.669872981077803797e-01,8.570719478501315214e-01
8.966316784620995683e-01,3.284275872613022784e-01,9.718192709625660397e-01
9.454915028125262522e-01,4.061073738537632205e-01,1.039406675134542990e+00
9.960441545911201677e-01,4.966316784620993241e-01,1.079264086821601687e+00
1.047735768366172993e+00,5.960441545911194794e-01,1.100475118107996586e+00
