x,y,theta
3.300000000000000155e-01,1.000000000000000056e-01,8.653769841269841612e-01
3.800000000000000044e-01,1.900000000000000022e-01,1.161111111111111205e+00
5.100000000000000089e-01,4.699999999999999734e-01,1.162202380952380931e+00
6.099999999999999867e-01,6.700000000000000400e-01,1.168749999999999956e+00
7.199999999999999734e-01,8.699999999999999956e-01,1.110912698412698463e+00
8.599999999999999867e-01,9.300000000000000488e-01,3.415674603174603252e-01
1.050000000000000044e+00,9.399999999999999467e-01,1.113095238095238165e-01
1.169999999999999929e+00,9.499999999999999556e-01,1.691468253968254065e-01
1.500000000000000000e+00,9.799999999999999822e-01,1.724206349206349187e-01
1.590000000000000080e+00,9.799999999999999822e-01,6.111111111111111605e-02
1.850000000000000089e+00,9.799999999999999822e-01,5.892857142857142738e-02
2.069999999999999840e+00,9.799999999999999822e-01,9.275793650793651146e-02
2.140000000000000124e+00,1.020000000000000018e+00,3.273809523809523888e-03
2.220000000000000195e+00,1.010000000000000009e+00,-4.146825396825396665e-02
2.430000000000000160e+00,9.899999999999999911e-01,4.037698412698412925e-02
2.689999999999999947e+00,9.399999999999999467e-01,-3.928571428571428492e-02
2.740000000000000213e+00,9.399999999999999467e-01,4.801587301587301876e-02
2.959999999999999964e+00,9.599999999999999645e-01,1.975198412698412620e-01
3.060000000000000053e+00,9.699999999999999734e-01,8.293650793650793329e-02
3.359999999999999876e+00,9.799999999999999822e-01,1.167658730158730174e-01
3.459999999999999964e+00,9.799999999999999822e-01,5.238095238095238221e-02
3.759999999999999787e+00,9.699999999999999734e-01,5.892857142857142738e-02
4.000000000000000000e+00,9.799999999999999822e-01,1.113095238095238165e-01
4.169999999999999929e+00,9.799999999999999822e-01,3.928571428571428492e-02
4.400000000000000355e+00,9.699999999999999734e-01,7.966269841269842111e-02
