x,y,theta
7.399999999999999911e-01,1.000000000000000000e+00,-4.474206349206349270e-02
1.020000000000000018e+00,9.799999999999999822e-01,7.748015873015873245e-02
1.250000000000000000e+00,9.499999999999999556e-01,6.329365079365079083e-02
1.399999999999999911e+00,9.599999999999999645e-01,2.760912698412698596e-01
1.669999999999999929e+00,9.499999999999999556e-01,-4.365079365079364837e-02
1.800000000000000044e+00,9.499999999999999556e-01,3.208333333333333592e-01
2.069999999999999840e+00,9.599999999999999645e-01,4.801587301587301876e-02
2.279999999999999805e+00,9.599999999999999645e-01,1.800595238095238082e-01
2.450000000000000178e+00,9.599999999999999645e-01,1.593253968253968422e-01
2.729999999999999982e+00,9.499999999999999556e-01,1.003968253968254010e-01
2.970000000000000195e+00,9.499999999999999556e-01,1.222222222222222321e-01
3.120000000000000107e+00,9.499999999999999556e-01,1.451388888888889006e-01
3.430000000000000160e+00,9.399999999999999467e-01,1.265873015873015817e-01
3.589999999999999858e+00,9.499999999999999556e-01,2.782738095238095344e-01
3.790000000000000036e+00,9.699999999999999734e-01,1.767857142857142960e-01
4.089999999999999858e+00,9.499999999999999556e-01,8.730158730158730368e-03
4.299999999999999822e+00,9.499999999999999556e-01,2.346230158730158721e-01
4.540000000000000036e+00,9.799999999999999822e-01,2.368055555555555747e-01
