pwm_r,pwm_l
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,2.470000000000000000e+02
2.550000000000000000e+02,1.410000000000000000e+02
2.550000000000000000e+02,1.100000000000000000e+02
2.550000000000000000e+02,1.100000000000000000e+02
2.550000000000000000e+02,1.100000000000000000e+02
